Account_Age,Friends_Followers_Ratio,Account_Reputation,Account_verification,Followers_count,Friend_count,List_count,Tweets_count,Retweet_count,Reply_count,Favorite_count,Char_Num_Per_Tweet,Label,Text
87,0,0,0,0,3,0,27,0,0,0,59,spam,قطره المحنه للنساء علاج الضعف الجنسي وسرعه القذف كريم تكبير القضيب للط…
1,0,0,0,0,14,0,10,0,0,0,66,non spam,سحب علي نسخه قيمتها كاش الشروط • فولو فولو ل •رتويت السحب الرتويت ساعه وبختار الفاء…
917,0,0,0,0,81,0,8,0,0,0,87,spam,رءيس الدوله وناءبه ومحمد زايد يهنءون الشيخ نواف الاحمد الجابر الصباح بمناسبه تنصيبه اميرا لدوله الكويت
57,0,0,0,0,17,0,8,0,0,0,47,non spam,مبروك لممثل الوطن النصر شاء الله علي الصليهم عيال الغنام
77,0,0,0,0,1,0,1,0,1,0,27,spam,احمل ببجي هاك يقولي تعذر التثبيت
258,0,0,0,0,2,0,4,0,0,0,73,non spam,حصري سعودي الشيخ الاحمد وزير اعلام تاريخ الكويت ومعروف رجل الدبلوماسيه ووزير الخارجيه…
24,0,0,0,0,39,0,7,0,0,0,94,non spam,تلقينا ببالغ الحزن والاسي نبا رحيل امير دوله الكويت سمو الشيخ الاحمد الجابر الصباح وبهذه المناسبه اتقدم باسمي وب…
161,0,0,0,0,29,0,209,0,0,1,90,spam,وراعين مقاطع مقطع سكس روابط ميقا اطفال بنات بنات صغار ورعان ورع عيال اولاد سالب موجب عرب عربي اجنبي سعودي المد…
3889,0,0,0,0,627,1,4698,0,0,0,83,non spam,بمناسبه فوز العالمي والتاهل لنصف النهاءي سحب علي سماعه ايربودز ساعه ذكيه لمتابعيني الشروط متابعه ر…
14,0,0,0,0,5,0,11,0,0,0,64,spam,تكفي كلمه شكرا وقفت ودعمت وجلبت وكافءت اشد اوقات احتياج العالمي النصر الاهلي
10,0,0,0,0,6,0,7,0,0,0,75,spam,بمناسبه فوز العالمي النصر سحب علي جوالين ايفون الشروط متابعه الحساب رتويت للتغريده ولايك…
35,0,0,0,0,56,0,70,0,0,0,80,non spam,هديه جوالات ايفون مقدمه الذهبي بمناسبه فوز العالمي النصر شارك الهاشتاق شكرا وزير الرياضه السحب…
176,0,0,0,0,105,0,43,0,0,0,66,non spam,سحب علي نسخه قيمتها كاش الشروط • فولو فولو ل •رتويت السحب الرتويت ساعه وبختار الفاء…
3,0,0,0,0,11,0,44,0,0,0,79,spam,اولا النصر علي خطوه نهاءي الابطال ثانيا علي خطوتين العالميه ثالثا الفريق العربي الوحيد المربع…
14,0,0,0,0,2,0,8,0,1,0,9,non spam,عمرك يا كلب
9,0,0,0,0,2,0,5,0,0,0,72,non spam,الدوري وليد وزير الرياضه قدم التهءنه لرءيس النصر بمناسبه التاهل لنصف نهاءي ابطال اسيا
2,0,0,0,0,76,0,30,0,0,0,85,spam,نتعامل فيروس كورونا ازاي نتعامل كرونا كورونا فيروس كورونا الوطن العربي الخليج مصر الكويت ايران شير في…
